scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimits,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,44,34,22,0.55,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,32,40,28,0.46,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,39,13,48,0.63,0,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,17,48,35,0.345,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,65,8,27,0.785,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,9,62,29,0.235,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,61,11,28,0.75,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,6,61,33,0.225,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,31,36,33,0.475,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,30,35,35,0.475,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,54,7,39,0.735,0,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,23,33,44,0.45,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,29,17,54,0.56,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,14,27,59,0.435,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,33,34,33,0.495,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,100,37,23,40,0.57,0,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,100,1,79,20,0.11,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,100,83,1,16,0.91,0,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,100,55,6,39,0.745,0,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,100,3,67,30,0.18,0,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,100,36,19,45,0.585,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,100,24,37,39,0.435,0,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,15,35,50,0.4,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,26,27,47,0.495,0,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,100,30,27,43,0.515,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,100,31,24,45,0.535,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,100,18,44,38,0.37,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,100,38,17,45,0.605,0,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,100,11,54,35,0.285,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,100,51,9,40,0.71,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,100,34,42,24,0.46,0,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,100,55,34,11,0.605,0,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,100,63,10,27,0.765,0,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,100,27,49,24,0.39,0,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,100,40,33,27,0.535,0,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,100,28,38,34,0.45,0,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,100,35,33,32,0.51,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,100,46,32,22,0.57,0,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,100,38,39,23,0.495,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,100,36,37,27,0.495,0,0,0
