scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,1000,326,251,423,0.5375,0,1.431,2,134.526,211.271,0.377,0.272,0,0,2,0,0,20.073,0,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,1000,299,209,492,0.545,0,1.312,2,226.374,136.029,0.319,0.217,0,0,0,1,24.32,0,0,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,1000,219,307,474,0.456,0,1.313,2,136.549,216.407,0.245,0.33,0,0,1,0,0,23.478,0,0,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,1000,329,252,419,0.5385,0,1.56,2,134.649,132.611,0.345,0.284,0,0,2,1,0,0,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,1000,234,285,481,0.4745,0,1.647,2,129.863,130.14,0.251,0.305,0,0,1,2,0,0,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,1000,344,465,191,0.4395,0,2.237,3,213.028,218.466,0.479,0.735,0,0,6.242,6.042,20.174,17.612,0,0,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,1000,583,273,144,0.655,0,2.143,3,229.204,221.363,1.049,0.443,0,0,6.185,5.903,18.54,19.468,0,0,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,1000,675,97,228,0.789,0,1.067,1,334.579,277.456,0.939,0.146,0,0,6.034,0,21,6.364,0,3.12,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,1000,216,573,211,0.3215,0,1.1,1,269.068,329.253,0.316,0.726,0,0,0,5.622,7.608,19.962,3.231,0,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,1000,406,314,280,0.546,0,2.228,3,220.383,394.366,0.583,0.383,0,0,6.152,0,20.964,42.684,0,0,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,1000,354,396,250,0.479,0,2.215,3,398.418,218.146,0.394,0.658,0,0,0,6.25,42.192,21.622,0,0,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,1000,403,361,236,0.521,0,2.011,2,216.01,270.341,0.631,0.458,0,0,6.33,3,21.796,0,0,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,1000,476,290,234,0.593,0,2.036,2,267.241,207.652,0.646,0.427,0,0,3,6.242,0,22.292,0,0,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,1000,467,289,244,0.589,0,2.015,2,221.85,275.077,0.755,0.381,0,0,6.29,2,21.848,0,0,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,1000,292,477,231,0.4075,0,2.054,2,266.715,215.634,0.394,0.81,0,0,2,6.223,0,22.53,0,0,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,1000,574,60,366,0.757,0,1.023,1,349.192,280.735,0.656,0.061,0,0,5.666,0,17.332,6.408,0,3.209,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,1000,377,181,442,0.598,0,1.005,1,272.126,329.85,0.441,0.181,0,0,0,4.726,8,14.351,3.407,0,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,1000,86,692,222,0.197,0,2.126,3,223.013,387.971,0.087,0.746,0,0,5.963,0,16.48,44.624,0,0,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,1000,999,0,1,0.9995,0,2.001,2,418.227,228.077,1.118,0,0,0,0,5.001,44.652,14.002,0,0,0,0
