scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,1000,521,159,320,0.681,0,1.263,2,93.715,155.29,0.634,0.162,0,0,2,0,0,17.084,0,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,1000,640,61,299,0.7895,0,1.333,2,171.35,82.163,0.735,0.065,0,0,0,3,17.96,0,0,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,1000,101,558,341,0.2715,0,1.376,2,81.164,167.683,0.106,0.631,0,0,3,0,0,17.564,0,0,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,1000,920,8,72,0.956,0,1.669,2,112.912,86.552,1.681,0.008,0,0,2,3,0,0,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,1000,10,914,76,0.048,0,1.662,2,88.382,115.495,0.01,1.571,0,0,3,2,0,0,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,1000,757,148,95,0.8045,0,2.186,3,161.5,198.815,1.935,0.19,0,0,9.146,6.15,3,9,0,0,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,1000,89,833,78,0.128,0,2.194,3,218.088,173.445,0.117,1.916,0,0,6.302,9.114,9,3,0,0,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,1000,924,28,48,0.948,0,1.24,2,235.34,222.64,2.47,0.037,0,0,10.438,0,3,7.676,0,0.971,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,1000,32,921,47,0.0555,0,1.207,2,220.113,237.12,0.043,2.604,0,0,0,10.141,7.364,3,0.962,0,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,1000,1000,0,0,1,0,1.455,2,165.579,314.324,3.227,0,0,0,7.274,0,3,34.58,0,0,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,1000,0,1000,0,0,0,1.309,2,329.069,166.758,0,3.556,0,0,0,7.162,33.046,3,0,0,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,1000,985,3,12,0.991,0,2.001,2,172.604,242.036,2.957,0.003,0,0,8.656,2,3,0,0,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,1000,2,993,5,0.0045,0,1.999,2,243.446,173.211,0.002,3.069,0,0,2,8.467,0,3,0,0,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,1000,995,1,4,0.997,0,2.011,2,184.006,188.996,2.884,0.001,0,0,9.025,5,3,0,0,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,1000,0,995,5,0.0025,0,2.002,2,188.406,183.309,0,2.932,0,0,5,8.899,0,3,0,0,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,1000,747,29,224,0.859,0,1.291,2,330.512,195.128,1.455,0.029,0,0,7.405,0,9,6.404,0,0.8,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,1000,105,720,175,0.1925,0,1.297,2,190.117,341.413,0.123,1.373,0,0,0,7.025,6.4,9,0.801,0,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,1000,1000,0,0,1,0,1.283,2,176.369,295.191,2.888,0,0,0,5.535,0,9,29.978,0,0,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,1000,0,996,4,0.002,0,1.284,2,303.577,177.606,0,2.737,0,0,0,5.127,32.874,9,0,0,0,0
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,1000,939,8,53,0.9655,0,1.923,2,210.314,228.523,2.2,0.008,0,0,6.103,2,9,0,0,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,1000,6,942,52,0.032,0,1.994,2,210.244,190.657,0.006,2.134,0,0,2,5.957,0,9,0,0,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,1000,710,94,196,0.808,0,2.027,2,236.383,187.344,1.093,0.109,0,0,5.974,5,9,0,0,0,0,0
