scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,5,70,25,0.175,0,1.22,2,95.46,115.44,0.06,1.02,0,0,0,3,3.84,0,1,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,81,5,14,0.88,0,1.14,2,114.64,92.36,1.22,0.08,0,0,3,0,0,3.42,0,0.96,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,100,8,58,34,0.25,0,1.19,2,158.38,95.49,0.08,0.68,0,0,0,2,27.24,0,0,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,100,59,11,30,0.74,0,1.24,2,91.97,145.59,0.77,0.11,0,0,2,0,0,25.74,0,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,100,25,24,51,0.505,0,1.36,2,169.6,82.06,0.26,0.27,0,0,0,3,26.3,0,0,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,100,32,29,39,0.515,0,1.47,2,78.74,159.23,0.33,0.3,0,0,3,0,0,25.66,0,0,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,100,89,0,11,0.945,0,1.58,2,113.86,87.57,1.67,0,0,0,2,3,0,0,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,100,0,90,10,0.05,0,1.65,2,87.78,115,0,1.54,0,0,3,2,0,0,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,100,40,34,26,0.53,0,2.27,3,165.89,173.38,0.53,0.42,0,0,5.8,6.26,3,10.16,0,0,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,100,36,45,19,0.455,0,2.21,3,187.64,176.92,0.49,0.7,0,0,6.43,5.74,10.25,3,0,0,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,100,55,22,23,0.665,0,1.28,2,229.23,206.26,1.01,0.33,0,0,5.84,0,3,7.6,0,0.96,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,100,23,59,18,0.32,0,1.34,2,202.06,223.93,0.32,1.02,0,0,0,5.77,7.28,3,0.97,0,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,100,52,17,31,0.675,0,2.01,2,170.7,332.93,0.68,0.18,0,0,5.61,0,3,49.36,0,0,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,100,5,56,39,0.245,0,2.05,2,344.96,170.35,0.05,0.67,0,0,0,5.57,48.74,3,0,0,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,100,78,2,20,0.88,0,2.05,2,172.25,234.86,1.19,0.02,0,0,5.65,2,3,0,0,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,100,5,71,24,0.17,0,2.02,2,236.16,171.58,0.06,1.07,0,0,2,5.51,0,3,0,0,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,100,75,4,21,0.855,0,2.11,3,183.91,186.74,1.04,0.05,0,0,5.83,5,3,0,0,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,100,4,74,22,0.15,0,2.06,2,185.98,182.49,0.06,1.05,0,0,5,5.72,0,3,0,0,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,100,62,14,24,0.74,0,1.31,2,255.96,196.43,1.08,0.14,0,0,7.47,0,10.1,6.44,0,0.8,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,100,12,65,23,0.235,0,1.33,2,186.74,258.96,0.18,1.17,0,0,0,7.09,6.4,10.06,0.8,0,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,100,92,0,8,0.96,0,1.73,2,171.16,342.78,1.9,0,0,0,6.07,0,9.98,43.36,0,0,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,100,1,89,10,0.06,0,1.98,2,356.54,164.78,0.01,1.51,0,0,0,5.74,47.82,9.93,0,0,0,0
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,100,76,7,17,0.845,0,2.03,2,187.32,232.93,1.37,0.08,0,0,6.39,2,10.31,0,0,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,100,10,75,15,0.175,0,2.1,2,214.1,167.08,0.1,1.28,0,0,2,6.25,0,10.21,0,0,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,100,38,35,27,0.515,0,2.04,2,204.14,188.38,0.55,0.51,0,0,6.13,5,10.27,0,0,0,0,0
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,100,39,31,30,0.54,0,2.08,2,173.36,184.32,0.47,0.42,0,0,5,6.14,0,10.14,0,0,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,100,51,32,17,0.595,0,1.09,1,185.81,532.29,0.64,0.35,0,0,0,0,7.88,44.28,1,0,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,100,24,44,32,0.4,0,1.03,1,573.19,191.62,0.27,0.57,0,0,0,0,48.24,7.6,0,0.98,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,100,41,33,26,0.54,0,1.02,1,194.89,271.2,0.57,0.51,0,0,0,2,7.8,0,0.88,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,100,38,35,27,0.515,0,1.05,1,274.21,191.69,0.7,0.49,0,0,2,0,0,6.88,0,0.78,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,100,50,29,21,0.605,0,1.07,1,216.07,218.28,0.68,0.43,0,0,0,5,7.68,0,1,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,100,30,42,28,0.44,0,1.1,1,220.4,212.26,0.52,0.55,0,0,5,0,0,6.84,0,0.96,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,100,57,4,39,0.765,0,1.32,2,361.24,205.44,0.6,0.05,0,0,0,2,51.76,0,0,0,0,0
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,100,14,61,25,0.265,0,1.32,2,202.49,351.86,0.14,0.64,0,0,2,0,0,50.42,0,0,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,100,20,22,58,0.49,0,1.85,2,411.42,172.08,0.2,0.22,0,0,0,5,50.72,0,0,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,100,25,27,48,0.49,0,1.94,2,168.94,393.35,0.25,0.27,0,0,5,0,0,49.64,0,0,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,100,27,25,48,0.51,0,2,2,237.5,177.96,0.28,0.25,0,0,2,5,0,0,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,100,44,23,33,0.605,0,1.98,2,177.68,239.25,0.49,0.25,0,0,5,2,0,0,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,24,0,76,0.62,0.76,29.99,30,84.44,0,5,1.13,0,0,0,0,2,0,0,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,93.38,78.8,0,5,0,0,4,0,2,0,0,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,29.23,30,90,0,5,0,0,0,0,0,0,0,0,0,0,0
B02_BREAK_N__VS__D01_MECHANIC_PRESSURE_N,B02_BREAK_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,106.78,79.04,0,5,0,0,5,0,7,0,0,0,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,80.97,0,5,2.51,0,0,0,0,0,0,0,0,0,0
B03_SUMMON_N__VS__D01_MECHANIC_PRESSURE_N,B03_SUMMON_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,1.13,2,108.02,108.88,0,5,0,0,0,0,3.6,0,1,0,0,0
B04_DEATH_N__VS__D00_OUTPUT_DUMMY,B04_DEATH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,80.56,0,5,3.16,0,0,0,0,0,0,0,0,0,0
B04_DEATH_N__VS__D01_MECHANIC_PRESSURE_N,B04_DEATH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,1.9,2,189.11,77.6,0,5,0,0,0,0,24.72,0,0,0,0,0
B05_SPELL_N__VS__D00_OUTPUT_DUMMY,B05_SPELL_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,20.31,21,130,0,5,0,0,0,0,0,0,0,0,0,0,0
B05_SPELL_N__VS__D01_MECHANIC_PRESSURE_N,B05_SPELL_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,125.28,77.84,0,5,0,0,2,0,0,0,0,0,0,0
B06_REFRESH_N__VS__D00_OUTPUT_DUMMY,B06_REFRESH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,27.46,28,95.91,0,5,0,0,0,0,0,0,0,0,0,0,0
B06_REFRESH_N__VS__D01_MECHANIC_PRESSURE_N,B06_REFRESH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,95.96,79.44,0,5,0,0,3,0,0,0,0,0,0,0
B01_SHIELD_H__VS__D00_OUTPUT_DUMMY,B01_SHIELD_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.46,17,164.36,0,5,0,0,0,0,0,2,0,0,0,0,0
B01_SHIELD_H__VS__D01_MECHANIC_PRESSURE_H,B01_SHIELD_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,186.16,158.08,0,5,0,0,5.83,0,3,0,0,0,0,0
B02_BREAK_H__VS__D00_OUTPUT_DUMMY,B02_BREAK_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,15.06,15,180,0,5,0,0,0,0,0,0,0,0,0,0,0
B02_BREAK_H__VS__D01_MECHANIC_PRESSURE_H,B02_BREAK_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,209.66,159.36,0,5,0,0,5.71,0,9.85,0,0,0,0,0
B03_SUMMON_H__VS__D00_OUTPUT_DUMMY,B03_SUMMON_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.59,17,161.94,0,5,0,0,0,0,0,0,0,0,0,0,0
B03_SUMMON_H__VS__D01_MECHANIC_PRESSURE_H,B03_SUMMON_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1.14,2,252.83,218.08,0,5,0,0,0,0,7.2,0,1,0,0,0
B04_DEATH_H__VS__D00_OUTPUT_DUMMY,B04_DEATH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.86,17,161.12,0,5,0,0,0,0,0,0,0,0,0,0,0
B04_DEATH_H__VS__D01_MECHANIC_PRESSURE_H,B04_DEATH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,397.26,152.64,0,5,0,0,0,0,49.2,0,0,0,0,0
B05_SPELL_H__VS__D00_OUTPUT_DUMMY,B05_SPELL_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,10.76,11,259.71,0,5,0,0,0,0,0,0,0,0,0,0,0
B05_SPELL_H__VS__D01_MECHANIC_PRESSURE_H,B05_SPELL_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,250.22,155.68,0,5,0,0,2,0,0,0,0,0,0,0
B06_REFRESH_H__VS__D00_OUTPUT_DUMMY,B06_REFRESH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,14.11,15,191.82,0,5,0,0,0,0,0,0,0,0,0,0,0
B06_REFRESH_H__VS__D01_MECHANIC_PRESSURE_H,B06_REFRESH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,191.32,159.52,0,5,0,0,5,0,0,0,0,0,0,0
