aggregate_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,development_level,scenario_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,build_score_spread,weakest_build_id,strongest_build_id,average_rounds,p90_rounds,round_limit_count,round_limit_rate,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,C5,6,600,15,564,21,0.025,0.0425,0.015208,0.040836,0.24,B01_SHIELD,B04_DEATH,1.545,2,0,0,0,0,0.03,1.961667,0,4.17,4.17,0,0,0,0.93
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,C2,6,600,568,10,22,0.946667,0.965,0.925679,0.961971,0.175,B03_SUMMON,B06_REFRESH,1.89,2,0,0,0,0,2.01,0.016667,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_early_spell:f2_early_spell_encounter:C2,Map,map_startrail_highlands,星轨高原,2,f2_early_spell,Normal,2,,,,f2_early_spell_encounter,坠光预演阵,2,C2,6,600,185,212,203,0.308333,0.4775,0.272699,0.346407,0.305,B02_BREAK,B01_SHIELD,1.808333,2,0,0,0,0,0.463333,0.451667,1.458333,0,0,0,2,0,0
Map:map_startrail_highlands:f2_normal:f2_normal_encounter:C2,Map,map_startrail_highlands,星轨高原,2,f2_normal,Normal,2,,,,f2_normal_encounter,秘页观测队,2,C2,6,600,282,83,235,0.47,0.665833,0.430382,0.51,0.295,B03_SUMMON,B05_SPELL,1.97,2,0,0,0,0,0.568333,0.15,0,0,0,0,2,0,0
Map:map_startrail_highlands:f2_mid_mechanic:f2_mid_mechanic_encounter:C4,Map,map_startrail_highlands,星轨高原,2,f2_mid_mechanic,Normal,3,,,,f2_mid_mechanic_encounter,星环折光阵,3,C4,6,600,467,48,85,0.778333,0.849167,0.743386,0.80974,0.315,B02_BREAK,B06_REFRESH,1.873333,2,0,0,0,0,1.331667,0.098333,1.466667,0,0,0,4,0,0
Map:map_startrail_highlands:f2_route_normal:f2_route_normal_encounter:C4,Map,map_startrail_highlands,星轨高原,2,f2_route_normal,Normal,4,Adventure,,,f2_route_normal_encounter,命轨巡弋队,3,C4,6,600,206,229,165,0.343333,0.480833,0.306445,0.382215,0.325,B02_BREAK,B04_DEATH,1.918333,2,0,0,0,0,0.448333,0.53,1.498333,0,0,0,4,0,0
Map:map_startrail_highlands:f2_elite:f2_c4_elite_encounter:C4,Map,map_startrail_highlands,星轨高原,2,f2_elite,Elite,4,Aggressive,,,f2_c4_elite_encounter,金色坠光议会,4,C4,6,600,89,387,124,0.148333,0.251667,0.122133,0.179008,0.315,B04_DEATH,B06_REFRESH,1.771667,2,0,0,0,0,0.19,1.073333,1.678333,0,0,0,2.996667,0,0
Map:map_startrail_highlands:f2_route_safe:f2_route_safe_encounter:C4,Map,map_startrail_highlands,星轨高原,2,f2_route_safe,Normal,4,Conservative,,,f2_route_safe_encounter,月轮守望队,2,C4,6,600,317,78,205,0.528333,0.699167,0.488337,0.56797,0.345,B01_SHIELD,B06_REFRESH,1.938333,2,0,0,0,0,0.625,0.143333,0,0,0,0,2,0,0
Event:map_startrail_highlands:ravine_ambush_f2:f2_c4_event_ambush_encounter:C4,Event,map_startrail_highlands,星轨高原,2,ravine_ambush_f2,EventCombat,4,Event,ravine_ambush_f2,裂谷伏兵,f2_c4_event_ambush_encounter,折光伏星阵,4,C4,6,600,299,88,213,0.498333,0.675833,0.458464,0.538224,0.33,B03_SUMMON,B04_DEATH,1.88,2,0,0,0,0,0.636667,0.165,0.6,0,0,0,2,0,0
Map:map_startrail_highlands:f2_late_break:f2_c5_break_encounter:C5,Map,map_startrail_highlands,星轨高原,2,f2_late_break,Normal,5,,,,f2_c5_break_encounter,月轮守护终检,4,C5,6,600,553,9,38,0.921667,0.953333,0.897386,0.940583,0.22,B02_BREAK,B04_DEATH,1.97,2,0,0,0,0,1.625,0.015,0,0,0,0,4,0,0
