scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,1000,998,0,2,0.999,0,1.059,1,269.273,141.866,2.904,0,0,0,5.546,0,9.994,7.798,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,1000,0,999,1,0.0005,0,1.081,1,140.698,277.079,0,2.93,0,0,0,5.422,8.002,9.997,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,1000,1000,0,0,1,0,1.283,2,176.632,295.191,2.888,0,0,0,5.535,0,10,29.978,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,1000,0,996,4,0.002,0,1.284,2,303.577,177.792,0,2.737,0,0,0,5.127,32.874,10,0,0
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,1000,934,9,57,0.9625,0,1.923,2,210.634,232.174,2.185,0.009,0,0,6.103,2,9.987,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,1000,8,939,53,0.0345,0,1.995,2,213.712,190.896,0.008,2.123,0,0,2,5.959,0,10,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,1000,710,94,196,0.808,0,2.027,2,236.932,187.344,1.093,0.109,0,0,5.974,5,9.998,0,0,0
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,1000,113,677,210,0.218,0,2.076,2,170.568,210.635,0.13,1.056,0,0,5,6.065,0,10,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,1000,32,892,76,0.07,0,1.042,1,139.452,382.521,0.047,1.268,0,0,0,0,9.576,33.902,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,1000,934,4,62,0.965,0,1.014,1,386.999,135.962,1.248,0.006,0,0,0,0,34.82,9.182,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,1000,0,1000,0,0,0,1,1,124.63,270.248,0,3.143,0,0,0,2,9.752,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,1000,1000,0,0,1,0,1,1,272.9,122.532,3.356,0,0,0,2,0,0,8.564,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,1000,0,1000,0,0,0,1.021,1,146.342,223.14,0,2.846,0,0,0,4.892,9.286,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,1000,999,0,1,0.9995,0,1.024,1,222.142,144.216,3.054,0,0,0,4.91,0,0,8.378,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,1000,28,731,241,0.1485,0,1.106,2,293.423,197.346,0.028,0.979,0,0,0,2,35.148,0,0,0
