scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B05_SPELL,C2,100,66,24,10,0.66,0.71,0.562777,0.745385,1.74,2,0,0,0,0.72,0.24,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B06_REFRESH,C2,100,39,9,52,0.39,0.65,0.300169,0.48797,1.32,2,0,0,0,0.39,0.09,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B01_SHIELD,C2,100,80,20,0,0.8,0.8,0.711171,0.866633,1.66,2,0,0,0,0.97,0.2,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B02_BREAK,C2,100,77,0,23,0.77,0.885,0.678456,0.841567,1.39,2,0,0,0,0.94,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B03_SUMMON,C2,100,60,27,13,0.6,0.665,0.502003,0.690599,1.18,2,0,0,0,0.99,0.27,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B04_DEATH,C2,100,55,18,27,0.55,0.685,0.452446,0.643855,1.23,2,0,0,0,0.55,0.18,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B05_SPELL,C2,100,75,17,8,0.75,0.79,0.656955,0.824548,1.62,2,0,0,0,0.84,0.17,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B06_REFRESH,C2,100,43,3,54,0.43,0.7,0.337333,0.527846,1.36,2,0,0,0,0.43,0.03,0,1,1,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B01_SHIELD_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B01_SHIELD,C4,100,89,0,11,0.89,0.945,0.813687,0.937458,2,2,0,0,0,1.34,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B02_BREAK_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B02_BREAK,C4,100,76,24,0,0.76,0.76,0.667677,0.833087,2,2,0,0,0,1.09,0.48,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B03_SUMMON_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B03_SUMMON,C4,100,71,4,25,0.71,0.835,0.614611,0.789852,1.12,2,0,0,0,0.93,0.04,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B04_DEATH_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B04_DEATH,C4,100,65,2,33,0.65,0.815,0.552544,0.736358,1.35,2,0,0,0,1.14,0.02,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B05_SPELL_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B05_SPELL,C4,100,94,0,6,0.94,0.97,0.875232,0.972214,1.5,2,0,0,0,1.35,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B06_REFRESH_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B06_REFRESH,C4,100,69,7,24,0.69,0.81,0.593739,0.772203,1.35,2,0,0,0,0.81,0.1,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B01_SHIELD_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B01_SHIELD,C4,100,0,46,54,0,0.27,0,0.036993,1.91,2,0,0,0,0,0.52,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B02_BREAK_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B02_BREAK,C4,100,10,47,43,0.1,0.315,0.055229,0.174366,2,2,0,0,0,0.1,0.47,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B03_SUMMON_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B03_SUMMON,C4,100,7,63,30,0.07,0.22,0.034319,0.137495,1.18,2,0,0,0,0.07,0.65,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B04_DEATH_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B04_DEATH,C4,100,9,72,19,0.09,0.185,0.048073,0.162262,1.52,2,0,0,0,0.09,1.01,0,1.98,1.98,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B05_SPELL_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B05_SPELL,C4,100,17,39,44,0.17,0.39,0.108936,0.25548,1.65,2,0,0,0,0.17,0.46,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:B06_REFRESH_F1_C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,B06_REFRESH,C4,100,10,36,54,0.1,0.37,0.055229,0.174366,1.41,2,0,0,0,0.1,0.48,0,2,2,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B01_SHIELD_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B01_SHIELD,C4,100,5,59,36,0.05,0.23,0.021544,0.11175,1.83,2,0,0,0,0.06,0.75,0,2,2,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B02_BREAK_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B02_BREAK,C4,100,6,43,51,0.06,0.315,0.027786,0.124768,1.84,2,0,0,0,0.06,0.66,0,1.98,1.98,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B03_SUMMON_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B03_SUMMON,C4,100,9,70,21,0.09,0.195,0.048073,0.162262,1.04,1,0,0,0,0.1,0.88,0,1.92,1.92,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B04_DEATH_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B04_DEATH,C4,100,3,76,21,0.03,0.135,0.010255,0.084519,1.17,2,0,0,0,0.03,0.95,0,1.82,1.82,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B05_SPELL_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B05_SPELL,C4,100,15,29,56,0.15,0.43,0.09306,0.232836,1.62,2,0,0,0,0.16,0.39,0,2,2,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:B06_REFRESH_F1_C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,B06_REFRESH,C4,100,7,54,39,0.07,0.265,0.034319,0.137495,1.32,2,0,0,0,0.07,0.71,0,1.96,1.96,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B01_SHIELD_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B01_SHIELD,C4,100,38,36,26,0.38,0.51,0.290976,0.477902,2.09,2,0,0,0,0.46,0.37,0,1,1,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B02_BREAK_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B02_BREAK,C4,100,48,41,11,0.48,0.535,0.384646,0.576834,2.04,2,0,0,0,0.62,0.5,0,1,1,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B03_SUMMON_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B03_SUMMON,C4,100,51,17,32,0.51,0.67,0.41348,0.60578,1.37,2,0,0,0,0.8,0.18,0,1,1,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B04_DEATH_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B04_DEATH,C4,100,61,11,28,0.61,0.75,0.51203,0.699831,1.64,2,0,0,0,0.86,0.14,0,1,1,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B05_SPELL_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B05_SPELL,C4,100,76,6,18,0.76,0.85,0.667677,0.833087,1.96,2,0,0,0,1.14,0.06,0,1,1,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:B06_REFRESH_F1_C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,B06_REFRESH,C4,100,62,15,23,0.62,0.735,0.522098,0.709024,1.65,2,0,0,0,0.68,0.17,0,0.98,0.98,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B01_SHIELD_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B01_SHIELD,C4,100,43,13,44,0.43,0.65,0.337333,0.527846,1.9,2,0,0,0,0.48,0.15,0,1,1,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B02_BREAK_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B02_BREAK,C4,100,27,16,57,0.27,0.555,0.192696,0.364321,2,2,0,0,0,0.27,0.16,0,1,1,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B03_SUMMON_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B03_SUMMON,C4,100,45,24,31,0.45,0.605,0.356145,0.547554,1.15,2,0,0,0,0.66,0.26,0,1,1,0,0,0,0
