buildId,samplesPerLevel,normalPercentile,normalRepresentativeSample,normalRepresentativeSeed,normalAttack,normalHealth,normalRepresentativeBoard,highPercentile,highRepresentativeSample,highRepresentativeSeed,highAttack,highHealth,highRepresentativeBoard
B01_SHIELD,1000,P50,0,-62054778,61,59,molten_core_standard=18/10;resonance_bell_guard=8/9;hearth_core_aegis_officer=12/12;thousand_ring_tomb_guardian=8/10;undying_furnace_king=15/18,P50,22,-28507214,113,98,molten_core_standard=30/17;resonance_bell_guard=12/18;hearth_core_aegis_officer=16/14;thousand_ring_tomb_guardian=16/26;undying_furnace_king=39/23
B02_BREAK,1000,P50,0,-324736085,61,49,oathbroken_blade_soul=11/8;molten_core_standard=7/7;undying_furnace_king=15/14;counterflow_smith=12/4;cinder_armor_arbiter=16/16,P50,0,-224070371,111,78,oathbroken_blade_soul=25/14;molten_core_standard=16/16;undying_furnace_king=27/20;counterflow_smith=17/9;cinder_armor_arbiter=26/19
B03_SUMMON,1000,P50,0,1610191414,44,50,hundred_song_herd=5/5;fox_den_matriarch=5/6;many_branch_invoker=9/18;vinecrown_priest=6/10;ten_thousand_hoof_surge=19/11;flourish=7,P50,1,1643746513,73,80,hundred_song_herd=9/12;fox_den_matriarch=10/13;many_branch_invoker=17/17;vinecrown_priest=10/15;ten_thousand_hoof_surge=27/23;flourish=12
B04_DEATH,1000,P50,693,-1252306599,75,86,rootbound_soul_guide=9/10;ancient_moss_hatchling=9/14;mountain_belly_soul_eater=14/15;ancient_mountain_spirit=17/24;world_eating_final_bloom=26/23,P50,33,-1151377801,124,163,rootbound_soul_guide=8/13;ancient_moss_hatchling=21/26;mountain_belly_soul_eater=26/34;ancient_mountain_spirit=29/33;world_eating_final_bloom=40/57
B05_SPELL,1000,P50,0,1103493827,83,81,secret_page_refractor=21/23;rune_ward_reader=16/16;echo_starchanter=16/9;falling_light_arbiter=15/15;falling_star_prophet=15/18,P50,0,1204159541,151,142,secret_page_refractor=33/38;rune_ward_reader=32/22;echo_starchanter=28/27;falling_light_arbiter=28/25;falling_star_prophet=30/30
B06_REFRESH,1000,P50,19,221881932,60,72,astrolabe_calibrator=11/11;fate_track_recorder=14/17;moonwheel_dispatcher=12/15;star_ring_treasurer=12/14;sky_covenant_bearer=11/15,P50,7,322555510,133,157,astrolabe_calibrator=26/26;fate_track_recorder=25/31;moonwheel_dispatcher=26/32;star_ring_treasurer=26/30;sky_covenant_bearer=30/38
