scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimits,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,55,21,24,0.67,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,17,59,24,0.29,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,59,12,29,0.735,0,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,14,64,22,0.25,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,73,7,20,0.83,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,8,73,19,0.175,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,63,10,27,0.765,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,3,66,31,0.185,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,96,2,2,0.97,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,0,97,3,0.015,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,54,7,39,0.735,0,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,23,33,44,0.45,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,83,1,16,0.91,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,0,82,18,0.09,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,33,34,33,0.495,0,0,0
