scope_type,scope_id,before_player_win_rate,after_player_win_rate,win_rate_delta,before_player_score_rate,after_player_score_rate,score_rate_delta,before_build_score_spread,after_build_score_spread,before_b03_score_rate,after_b03_score_rate
C4Route,Aggressive,0,0,0,0,0,0,0,0,0,0
C4Route,Adventure,0,0.091667,0.091667,0.003333,0.18,0.176667,0.02,0.30,0,0.205
C4Route,Conservative,0.031667,0.201667,0.17,0.084167,0.36,0.275833,0.32,0.26,0,0.285
C5Encounter,f3_c5_forge_encounter,0.08,0.03,-0.05,0.115,0.14,0.025,0.44,0.32,0,0.115
C5Encounter,f3_c5_wild_encounter,0,0.171667,0.171667,0.001667,0.255833,0.254166,0.01,0.435,0,0.425
Boss,f3_c6_boss_encounter,0,0.095,0.095,0,0.173333,0.173333,0,0.395,0,0.085
